file0,file1,file2,file3,phi,CL-Con,Npart,Temperature,Nexp,damp,time-step,N_heat,N_isot,N_CL,N_MO,L,save-dump,save-fix,save-stress,seed1,seed2,seed3,dir,file_system
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,1.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,32.282517,1000.0,100000.0,100000.0,64.0,71.0,135.0,2026-04-06-135706_1,system_info_a3942d60-cb79-43e5-b9f7-b767c68ea6da.csv
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,2.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,32.282517,1000.0,100000.0,100000.0,86.0,56.0,142.0,2026-04-06-163846_2,system_info_a3942d60-cb79-43e5-b9f7-b767c68ea6da.csv
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,3.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,32.282517,1000.0,100000.0,100000.0,83.0,43.0,126.0,2026-04-06-192159_3,system_info_a3942d60-cb79-43e5-b9f7-b767c68ea6da.csv
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,4.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,32.282517,1000.0,100000.0,100000.0,60.0,32.0,92.0,2026-04-06-220650_4,system_info_a3942d60-cb79-43e5-b9f7-b767c68ea6da.csv
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,5.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,32.282517,1000.0,100000.0,100000.0,109.0,53.0,162.0,2026-04-07-004855_5,system_info_a3942d60-cb79-43e5-b9f7-b767c68ea6da.csv
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,6.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,32.282517,1000.0,100000.0,100000.0,86.0,39.0,125.0,2026-04-07-033050_6,system_info_a3942d60-cb79-43e5-b9f7-b767c68ea6da.csv
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,7.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,32.282517,1000.0,100000.0,100000.0,48.0,26.0,74.0,2026-04-07-061328_7,system_info_a3942d60-cb79-43e5-b9f7-b767c68ea6da.csv
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,8.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,32.282517,1000.0,100000.0,100000.0,109.0,,,2026-04-07-085249_8,system_info_a3942d60-cb79-43e5-b9f7-b767c68ea6da.csv
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,9.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,32.282517,1000.0,100000.0,100000.0,95.0,60.0,155.0,2026-04-07-114046_9,system_info_a3942d60-cb79-43e5-b9f7-b767c68ea6da.csv
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,10.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,32.282517,1000.0,100000.0,100000.0,59.0,60.0,119.0,2026-04-07-143613_10,system_info_a3942d60-cb79-43e5-b9f7-b767c68ea6da.csv
